sub_id,session,block,trial,left_stim_id,right_stim_id,left_pwin,right_pwin,chosen_stim_id,choice_side,reward,rt,QL,QR,Q_chosen,UncL,UncR,dQ,dUnc
48,0,4,16,102,103,0.5,0.8,102,0,0,-593677.0644575822,0.2,0.6,0.6,0.02666666666666667,0.04,-0.39999999999999997,-0.013333333333333332
48,0,4,17,102,103,0.5,0.8,103,1,0,-593682.3575349858,0.2,0.25,0.25,0.02666666666666667,0.0375,-0.04999999999999999,-0.01083333333333333
48,0,4,18,102,105,0.5,0.35,102,0,0,-593686.2277358603,0.2,0.2,0.2,0.02666666666666667,0.02666666666666667,0.0,0.0
48,1,0,0,168,172,0.2,0.5,168,0,0,-594121.4571542719,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,1,0,1,170,172,0.55,0.5,172,1,0,-594126.8977497179,0.6666666666666666,0.2,0.6666666666666666,0.05555555555555555,0.02666666666666667,0.4666666666666666,0.028888888888888884
48,1,0,2,168,170,0.2,0.55,170,1,0,-594134.4436524564,0.5,0.5,0.5,0.05,0.08333333333333333,0.0,-0.033333333333333326
48,1,0,3,170,172,0.55,0.5,172,1,1,-594139.1101275122,0.16666666666666666,0.5,0.16666666666666666,0.01984126984126984,0.08333333333333333,-0.33333333333333337,-0.06349206349206349
48,1,0,4,170,172,0.55,0.5,172,1,1,-594144.2653088591,0.14285714285714285,0.5,0.5,0.015306122448979591,0.08333333333333333,-0.35714285714285715,-0.06802721088435373
48,1,0,5,168,172,0.2,0.5,172,1,1,-594149.6701334746,0.14285714285714285,0.5,0.5,0.015306122448979591,0.03571428571428571,-0.35714285714285715,-0.02040816326530612
48,1,0,6,169,171,0.6,0.45,171,1,0,-594154.058174013,0.2,0.6666666666666666,0.6666666666666666,0.02666666666666667,0.05555555555555555,-0.4666666666666666,-0.028888888888888884
48,1,0,7,169,171,0.6,0.45,169,0,1,-594160.7017276153,0.6,0.2,0.6,0.04,0.02666666666666667,0.39999999999999997,0.013333333333333332
48,1,0,8,169,171,0.6,0.45,171,1,0,-594165.329484281,0.14285714285714285,0.75,0.75,0.015306122448979591,0.0375,-0.6071428571428572,-0.022193877551020407
48,1,0,9,168,169,0.2,0.6,169,1,0,-594169.2757401215,0.2,0.6,0.6,0.02666666666666667,0.04,-0.39999999999999997,-0.013333333333333332
48,1,0,10,168,172,0.2,0.5,168,0,0,-594175.2736567506,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,1,0,11,168,171,0.2,0.45,168,0,0,-594180.343446007,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,1,0,12,169,170,0.6,0.55,170,1,1,-594184.6924125114,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.05555555555555555,-0.16666666666666663,0.027777777777777776
48,1,0,13,171,172,0.45,0.5,171,0,0,-594189.9355066234,0.5,0.75,0.75,0.08333333333333333,0.0375,-0.25,0.04583333333333333
48,1,0,14,168,172,0.2,0.5,172,1,1,-594194.5835055675,0.5,0.8,0.8,0.08333333333333333,0.02666666666666667,-0.30000000000000004,0.05666666666666666
48,1,0,15,171,172,0.45,0.5,172,1,1,-594198.1633514927,0.5,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.01984126984126984,-0.33333333333333337,0.06349206349206349
